date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:09:11	2560/2560	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Aug%202017%2010:13:44%20GMT	http://www.udghosh.org/robots.txt		(from )
07:09:12	34357/34357	---M--	200	added ('OK')	text/html	date:Thu,%2026%20Oct%202017%2013:35:19%20GMT	http://www.udghosh.org/	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/index.html	(from )
07:09:13	2377/2377	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Aug%202017%2015:12:01%20GMT	http://www.udghosh.org/img/favicon-32x32.png	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/img/favicon-32x32.png	(from http://www.udghosh.org/)
07:09:13	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Dec%202017%2001:39:52%20GMT	https://s.codepen.io/assets/libs/modernizr.js	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/s.codepen.io/assets/libs/modernizr.1.delayed	(from http://www.udghosh.org/)
07:09:15	1098/1098	---M--	200	added ('OK')	text/css	etag:%22c541831716c4baf86328e6677fbaae24%22	https://s3-us-west-2.amazonaws.com/s.cdpn.io/148866/reset.css	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/s3-us-west-2.amazonaws.com/s.cdpn.io/148866/reset.css	(from http://www.udghosh.org/)
07:09:15	2199/2199	---MCZ	200	added ('OK')	text/css	date:Mon,%2003%20Oct%202016%2013:17:07%20GMT	https://cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	(from http://www.udghosh.org/)
07:09:17	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%22ec3bb52a00e176a7181d454dffaea219%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from http://www.udghosh.org/)
07:09:20	15357/15357	---M--	200	added ('OK')	text/css	date:Tue,%2029%20Aug%202017%2015:11:46%20GMT	http://www.udghosh.org/css/nav.css	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/css/nav.css	(from http://www.udghosh.org/)
07:09:20	86659/86659	---MC-	200	added ('OK')	text/javascript	date:Fri,%2024%20Mar%202017%2020:55:54%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from http://www.udghosh.org/)
07:09:22	29737/29737	---M--	200	added ('OK')	text/css	date:Sat,%2007%20Oct%202017%2022:27:37%20GMT	http://www.udghosh.org/css/style2.css	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/css/style2.css	(from http://www.udghosh.org/)
07:09:22	7974/7974	---M--	200	added ('OK')	text/css	date:Tue,%2029%20Aug%202017%2015:11:45%20GMT	http://www.udghosh.org/css/home.css	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/css/home.css	(from http://www.udghosh.org/)
07:09:23	5411/5411	---M--	200	added ('OK')	text/css	date:Wed,%2006%20Sep%202017%2013:53:54%20GMT	http://www.udghosh.org/css/style1.css	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/css/style1.css	(from http://www.udghosh.org/)
07:09:26	51364/51364	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Aug%202017%2015:32:23%20GMT	http://www.udghosh.org/js/modernizr.js	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/js/modernizr.js	(from http://www.udghosh.org/)
